item,itemLabel,position,positionLabel,start,psid
Q16185592,R. K. Singh,Q108559711,Minister of Power,2017-09-03,Q16185592-6EE2FF2A-54E1-4E5D-AEEA-33F3D03DE541
Q16185592,R. K. Singh,Q6866267,Minister of New and Renewable Energy,2017-09-03,Q16185592-DD94ED21-C300-41F8-86E0-4DD2A41D2BF5
Q16186720,Subrahmanyam Jaishankar,Q313465,Minister of External Affairs,2019-05-30,Q16186720-97dbad93-4f50-c52a-675e-c466e4c1f946
Q16208337,Bhupender Yadav,Q108559737,Minister of Environment and Forests,2021-07-07,Q16208337-8C4D84E7-29A2-46FB-B027-2ACB3C7BC736
Q16208337,Bhupender Yadav,Q6866235,Minister of Labour and Employment,2021-07-07,Q16208337-678AF950-D5CC-4221-BBC3-83366DC693AB
Q16213761,Jyotiraditya Scindia,Q18390718,Minister of Civil Aviation,2021-07-07,Q16213761-EB237F1B-BC85-49A5-B7E2-1A6C5DBB99E4
Q16736894,Giriraj Singh,Q16874648,Minister of Rural Development,2021-07-07,Q16736894-BD635F7D-D793-450A-B3CA-89C08658E4DC
Q16736894,Giriraj Singh,Q6866272,Minister of Panchayati Raj,2021-07-07,Q16736894-418CC766-1609-4DA1-AAC3-51DF2304FB94
Q16901147,Krishan Pal,Q6866326,Minister of Social Justice and Empowerment,2014-11-26,Q16901147-74aa1018-464b-f48a-5490-958161e41428
Q16902198,Mahendra Nath Pandey,Q6866176,Minister of Heavy Industries and Public Enterprises,2021-07-07,Q16902198-92E9A879-CCB8-4B97-8087-A08EA74979DF
Q16914124,Gajendrasingh Shekhawat,Q108560946,Minister of Jal Shakti,2019-05-30,Q16914124-ED862544-D026-444C-8B3C-3AA78556959D
Q18720206,RCP Singh,Q6866391,Minister of Steel,2021-07-07,Q18720206-638CD688-6AB1-4682-AA76-15A8170A40E0
Q21170728,Mansukh L. Mandaviya,Q17073489,Minister of Health and Family Welfare,2021-07-07,Q21170728-B368EF0F-5FFC-4F26-BE5E-3000953B78A3
Q21170728,Mansukh L. Mandaviya,Q6866049,Minister of Chemicals and Fertilizers,2021-07-07,Q21170728-331E39F9-67D6-48D6-8B1B-F34774C8DDF6
Q28227517,Pashupati Kumar Paras,Q6866140,Minister of Food Processing Industries,2021-07-07,Q28227517-D1ED8E20-E789-4F19-8985-497535CC2F79
Q3504520,Nitin Gadkari,Q6866308,Minister of Road Transport and Highways,2014-05-26,Q3504520-157B2485-62EF-4BD4-A312-2C2531B845E3
Q3506475,Rajnath Singh,Q3533315,Minister of Defence of India,2019-05-31,Q3506475-a8e9b70b-48a0-30c3-70b2-75bf8335bafe
Q3520052,Arjun Munda,Q6866408,Minister of Tribal Affairs,2019-05-30,Q3520052-07B7B978-3259-49C2-9099-A9756B4B12E7
Q3631470,Narayan Rane,Q108559630,"Minister of Micro, Small and Medium Enterprises",2021-07-07,Q3631470-1CBB5D7C-960A-427E-801D-9D34F8FC18EF
Q4746875,Amit Shah,Q108559581,Minister of Co-operation,2021-07-07,Q4746875-DDDD2B21-2A26-4EEB-B7DD-7A2E20D460D4
Q4746875,Amit Shah,Q3440901,Minister of Home Affairs,2019-05-30,Q4746875-381BB8D0-9382-43B3-ABFD-A3FC65044883
Q4777895,Anurag Thakur,Q6866209,Minister of Information and Broadcasting,2021-07-07,Q4777895-5A52B277-84D8-4BA8-A95F-E3ED8620729F
