item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q15652611,Q15652611,Q6866301,Minister of Railways,,,,,,,,,,,,,,,Q15652611-d154e96d-c4eb-4d76-bba6-ff3b98286c7f
Q278849,A. K. Antony,Q16878665,"Minister of Consumer Affairs, Food and Public Distribution",,,,,,,,,,,,,,,Q278849-E1785B39-8E7C-4E36-8235-334BCC3DFC65
Q278849,A. K. Antony,Q3533315,Minister of Defence of India,2006-10-26T00:00:00Z,2014-05-26T00:00:00Z,,,,Q57446,Pranab Mukherjee,,,,,,,,Q278849-E2611360-B54A-4BDD-B0CE-F2FEAC490CB3
Q196617,Abul Kalam Azad,Q4294642,Ministry of Education,1947-08-15T00:00:00Z,1958-02-02T00:00:00Z,,,,,,Q6323540,K. L. Shrimali,,,,,,Q196617-8E4EAF42-3141-4940-B204-8E3A10B4C1AA
Q4735334,Alphons Kannanthanam,Q6866398,Minister of Tourism,2017-09-03T00:00:00Z,,,,,,,,,,,,,,Q4735334-7d372963-43b8-b2c6-9221-ab96a37bc2c9
Q3347864,Ambika Soni,Q6866209,Minister of Information and Broadcasting,,,,,,,,,,,,,,,Q3347864-36722AD3-2581-47A5-9FCB-8391FAC57552
Q4746875,Amit Shah,Q108559581,Minister of Co-operation,2021-07-07T00:00:00Z,,,,,,,,,,,,,,Q4746875-DDDD2B21-2A26-4EEB-B7DD-7A2E20D460D4
Q4746875,Amit Shah,Q3440901,Minister of Home Affairs,2019-05-30T00:00:00Z,,,,,Q3506475,Rajnath Singh,,,,,,,,Q4746875-381BB8D0-9382-43B3-ABFD-A3FC65044883
Q431601,Amrit Kaur,Q6866064,Minister of Communications and Information Technology,1951-08-02T00:00:00Z,1952-05-13T00:00:00Z,,,,Q7282619,Rafi Ahmed Kidwai,Q1471625,Jagjivan Ram,,,,,,Q431601-5ff9e576-449b-fa6d-f40a-485d7386c83c
Q431601,Amrit Kaur,Q17073489,Minister of Health and Family Welfare,1947-08-15T00:00:00Z,1957-04-16T00:00:00Z,,,,,,Q23060166,Dattatraya Parashuram Karmarkar,,,,,,Q431601-460a4c7f-46fd-3d89-c2e4-efeaadbb19eb
Q1428118,Anbumani Ramadoss,Q17073489,Minister of Health and Family Welfare,2004-05-22T00:00:00Z,2009-05-22T00:00:00Z,,,,,,,,,,,,,Q1428118-ed850a4f-43e2-ce9c-58cf-855aabf33cbb
Q3309208,Arjun Singh,Q4294642,Ministry of Education,,,,,,,,,,,,,,,Q3309208-4909310B-EF04-4A3B-AA96-AFCD90E6C5B3
Q3629480,Arun Jaitley,Q3533315,Minister of Defence of India,2014-05-26T00:00:00Z,2014-11-09T00:00:00Z,,,,Q278849,A. K. Antony,Q1391309,Manohar Parrikar,,,,,,Q3629480-E37F180E-0D6A-4E6A-835A-0401D13F3168
Q3629480,Arun Jaitley,Q3533315,Minister of Defence of India,2017-03-13T00:00:00Z,2017-09-03T00:00:00Z,,,,Q1391309,Manohar Parrikar,Q7040049,Nirmala Sitaraman,,,,,,Q3629480-313c7e06-4150-5617-95ab-16f542c225fd
Q3629480,Arun Jaitley,Q1416501,Minister of Finance,2014-05-26T00:00:00Z,2019-05-30T00:00:00Z,,,,Q377358,P. Chidambaram,Q7040049,Nirmala Sitaraman,,,,,,Q3629480-26C84BCE-8D4E-4BDA-99F6-35BC363304CC
Q3629480,Arun Jaitley,Q18128071,Minister of Law and Justice,2003-07-29T00:00:00Z,2004-05-22T00:00:00Z,,,,,,,,,,,,,Q3629480-feeb6542-4b1a-a7e2-bdc3-1d3109c4b8c3
Q233289,Atal Bihari Vajpayee,Q313465,Minister of External Affairs,1977-03-26T00:00:00Z,1979-07-28T00:00:00Z,,,,Q1764541,Yashwantrao Chavan,Q288528,Shyam Nandan Prasad Mishra,,,,,,Q233289-82058618-4CF0-4ADA-8CD2-31B6C5AB2CF9
Q233289,Atal Bihari Vajpayee,Q313465,Minister of External Affairs,1998-03-19T00:00:00Z,1998-12-05T00:00:00Z,,,,Q248484,I. K. Gujral,Q3518489,Jaswant Singh,,,,,,Q233289-34ca4d6a-48b0-7b47-cf56-faa4bbd5b79c
Q233289,Atal Bihari Vajpayee,Q192711,Prime minister of India,1996-05-16T00:00:00Z,1996-06-01T00:00:00Z,,,,Q275146,P. V. Narasimha Rao,Q377870,H. D. Deve Gowda,,,,,,Q233289-9ce14e52-44b2-f140-7e33-c4108e7e70e2
Q233289,Atal Bihari Vajpayee,Q192711,Prime minister of India,1998-03-19T00:00:00Z,2004-05-19T00:00:00Z,,,,Q248484,I. K. Gujral,Q41914,Manmohan Singh,,,,,,q233289-40FA3507-D20F-4520-BB74-865B9E4D0EE1
Q4850423,Baldev Singh,Q3533315,Minister of Defence of India,1947-08-15T00:00:00Z,1952-05-13T00:00:00Z,,,,,,,,,,,,,Q4850423-E2915A26-BFC0-4040-AAD7-77F254B66229
Q2604943,Bali Ram Bhagat,Q313465,Minister of External Affairs,1985-09-25T00:00:00Z,1986-05-12T00:00:00Z,,,,Q4593,Rajiv Gandhi,Q7117543,P. Shiv Shankar,,,,,,Q2604943-ab9aeba8-4f0f-ce75-8eb7-e7e3107c6645
Q3497331,Balram Jakhar,Q6866034,Minister of Agriculture,1991-06-21T00:00:00Z,1996-01-17T00:00:00Z,,,,Q1764533,Chaudhary Devi Lal,Q7645325,Suraj Bhan,,,,,,Q3497331-49149ae4-48e2-a913-caf4-e1036649c86d
Q3634914,Bansi Lal,Q3533315,Minister of Defence of India,1975-12-21T00:00:00Z,1977-03-24T00:00:00Z,,,,Q1149,Indira Gandhi,Q31380031,Q31380031,,,,,,Q3634914-13818faa-472a-d099-1686-266556b86862
Q3634914,Bansi Lal,Q6866301,Minister of Railways,1984-12-31T00:00:00Z,1986-06-04T00:00:00Z,,,,,,,,,,,,,Q3634914-fa8ffd52-414d-2dd7-f76b-970991f16437
Q12441676,Bindeshwari Dubey,Q18128071,Minister of Law and Justice,,,,,,,,,,,,,,,Q12441676-c210256a-0ce5-4ff1-86f6-bf10a3991ae7
Q5006743,C. P. Joshi,Q6866308,Minister of Road Transport and Highways,,,,,,,,,,,,,,,Q5006743-7be56b79-4260-e553-93fc-5d4f96817720
Q378404,C. Rajagopalachari,Q3440901,Minister of Home Affairs,1950-12-26T00:00:00Z,1951-10-25T00:00:00Z,,,,Q9455,Vallabhbhai Patel,Q6347919,Kailash Nath Katju,,,,,,Q378404-1626480D-8180-481B-A86E-AB4BA331FA7E
Q334279,Chandra Shekhar,Q313465,Minister of External Affairs,1991-02-20T00:00:00Z,1991-06-21T00:00:00Z,,,,Q7928167,Vidya Charan Shukla,Q6727271,Madhav Singh Solanki,,,,,,Q334279-40d47b34-40a8-a79f-3abc-3523b1f31ade
