item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q334279,Chandra Shekhar,Q192711,Prime minister of India,1990-11-10T00:00:00Z,1991-06-21T00:00:00Z,,,,Q315338,Vishwanath Pratap Singh,Q275146,P. V. Narasimha Rao,,,,,,Q334279-925a7521-4ad0-3954-edb1-535cf873e2e9
Q319824,Charan Singh,Q1708557,Deputy Prime Minister of India,1977-03-24T00:00:00Z,1979-07-28T00:00:00Z,,,3,Q218661,Morarji Desai,Q1764541,Yashwantrao Chavan,,,,,,Q319824-9328307D-B724-4381-8A21-6070785380A0
Q319824,Charan Singh,Q1416501,Minister of Finance,1979-01-24T00:00:00Z,1979-07-28T00:00:00Z,,,,Q5657287,Hirubhai M. Patel,Q5712859,Hemwati Nandan Bahuguna,,,,,,Q319824-55660052-5DCC-4CEA-B349-5252197DC448
Q319824,Charan Singh,Q3440901,Minister of Home Affairs,1977-03-24T00:00:00Z,1978-07-01T00:00:00Z,,,,Q3764086,Kasu Brahmananda Reddy,Q218661,Morarji Desai,,,,,,Q319824-86D18A1D-7BDE-4D40-8176-4E58B66DB3F9
Q319824,Charan Singh,Q192711,Prime minister of India,1979-07-28T00:00:00Z,1980-01-14T00:00:00Z,,,5,Q218661,Morarji Desai,Q1149,Indira Gandhi,,,,,,Q319824-28d0527e-4ff2-535e-7a38-6717d5e3aa52
Q1764533,Chaudhary Devi Lal,Q1708557,Deputy Prime Minister of India,1989-12-02T00:00:00Z,1991-06-21T00:00:00Z,,,,Q1764541,Yashwantrao Chavan,Q468324,Lal Krishna Advani,,,,,,Q1764533-c691b783-45f7-d8e1-cb2f-290e8545f80f
Q17479033,Chaudhary Nitiraj Singh,Q18128071,Minister of Law and Justice,,,,,,,,,,,,,,,Q17479033-ea3faa2a-1f26-4c44-851c-2ca091322d20
Q982295,Chidambaram Subramaniam,Q6866034,Minister of Agriculture,1964-06-09T00:00:00Z,1966-03-12T00:00:00Z,,,,Q1034290,Swaran Singh,Q1471625,Jagjivan Ram,,,,,,Q982295-F50C3705-A5A2-4DED-B224-F604ED33252A
Q982295,Chidambaram Subramaniam,Q3533315,Minister of Defence of India,1979-07-28T00:00:00Z,1980-01-14T00:00:00Z,,,,Q1471625,Jagjivan Ram,Q1149,Indira Gandhi,,,,,,Q982295-388e3e80-4103-5694-f1ba-afa57f9e6d76
Q982295,Chidambaram Subramaniam,Q1416501,Minister of Finance,1975-01-01T00:00:00Z,1977-01-01T00:00:00Z,,,,Q1764541,Yashwantrao Chavan,Q5657287,Hirubhai M. Patel,,,,,,Q982295-30F3F8B6-475E-4D81-AC01-19563B7A1431
Q23060166,Dattatraya Parashuram Karmarkar,Q17073489,Minister of Health and Family Welfare,1957-04-17T00:00:00Z,1962-04-09T00:00:00Z,,,2,Q431601,Amrit Kaur,Q4969032,Sushila Nayyar,,,,,,Q23060166-0200faf6-401e-b601-9878-3004b2475190
Q5278104,Dinesh Singh,Q313465,Minister of External Affairs,1969-02-14T00:00:00Z,1970-06-27T00:00:00Z,,,,Q1149,Indira Gandhi,Q1034290,Swaran Singh,,,,,,Q5278104-501ae43f-407a-df85-c0e4-bfdf350005cc
Q5278104,Dinesh Singh,Q313465,Minister of External Affairs,1993-01-18T00:00:00Z,1995-02-10T00:00:00Z,,,,Q275146,P. V. Narasimha Rao,Q57446,Pranab Mukherjee,,,,,,Q5278104-6b407bb7-4a56-8a60-4be0-ad054c0b5529
Q3525366,Dinesh Trivedi,Q6866301,Minister of Railways,2011-07-13T00:00:00Z,2012-03-18T00:00:00Z,,,,Q465041,Mamata Banerjee,Q3346285,Mukul Roy,,,,,,Q3525366-a1eab3c8-4c80-4324-29f9-c5749941bc01
Q3532853,G. K. Vasan,Q6866034,Minister of Agriculture,2002-05-01T00:00:00Z,,,,,,,,,,,,,,Q3532853-541687CD-44BF-4F25-BF50-9539CD84BD5A
Q3532853,G. K. Vasan,Q16874648,Minister of Rural Development,,,,,,,,,,,,,,,Q3532853-4549B6B5-5C6C-4E00-97BB-8425B096671C
Q3532853,G. K. Vasan,Q16874648,Minister of Rural Development,,,,,,,,,,,,,,,Q3532853-72A77227-D53F-48B4-B19F-D0A81E4A6C67
Q3532853,G. K. Vasan,Q16868002,Minister of Urban Development (India),,,,,,,,,,,,,,,Q3532853-7AC393A5-55D1-4AB5-A390-DDE51D2782FA
Q3056379,George Fernandes,Q3533315,Minister of Defence of India,1998-03-19T00:00:00Z,2001-03-16T00:00:00Z,,,,Q2736550,Mulayam Singh Yadav,Q3518489,Jaswant Singh,,,,,,Q3056379-6b83c37f-4e4f-36d5-d00d-ce89d410ee1f
Q3056379,George Fernandes,Q3533315,Minister of Defence of India,2001-10-21T00:00:00Z,2004-05-22T00:00:00Z,,,,Q3518489,Jaswant Singh,Q57446,Pranab Mukherjee,,,,,,Q3056379-1C63C3B6-66A5-4660-A468-15CA9D6D238C
Q3056379,George Fernandes,Q6866301,Minister of Railways,1989-12-02T00:00:00Z,1990-11-10T00:00:00Z,,,,Q1854649,Madhavrao Scindia,Q6153095,Janeshwar Mishra,,,,,,Q3056379-81FF3AD2-39E4-474E-B3B3-C22FE01AF8E8
Q5542079,George Malcolm,Q6866034,Minister of Agriculture,,,,,,,,,,,,http://www.mhs.mb.ca/docs/people/malcolm_gjh.shtml,,,Q5542079-cee29a2f-4b60-f3d0-b144-9bb5d8042425
Q5542079,George Malcolm,Q6866034,Minister of Agriculture,,,,,,,,,,,,http://www.annefield.net/george_john_huntley_malcolm.htm,,,Q5542079-cee29a2f-4b60-f3d0-b144-9bb5d8042425
Q3633455,Gopinath Munde,Q16874648,Minister of Rural Development,2014-05-26T00:00:00Z,2014-06-03T00:00:00Z,,,,,,,,,,,,,Q3633455-F214CE36-75CC-435C-A060-D1AF8D5FB4C7
Q3633455,Gopinath Munde,Q6867517,Ministry of Rural Development,2014-05-26T00:00:00Z,2014-06-03T00:00:00Z,,,,Q907912,Jairam Ramesh,,,,,,,,Q3633455-1ab28c2d-49f7-87d3-286b-236adc6f58ee
Q2724411,Govind Ballabh Pant,Q3440901,Minister of Home Affairs,1955-01-10T00:00:00Z,1961-03-07T00:00:00Z,,,,,,,,,,,,,Q2724411-9dd3c8e7-419e-e9b7-14c5-f37193d4fec3
Q317769,Gulzarilal Nanda,Q313465,Minister of External Affairs,1964-05-27T00:00:00Z,1964-06-09T00:00:00Z,,,,Q1047,Jawaharlal Nehru,Q244689,Lal Bahadur Shastri,,,,,,Q317769-E61E884F-B5E7-48BD-8ABC-B8C5B4714051
Q317769,Gulzarilal Nanda,Q3440901,Minister of Home Affairs,1963-08-29T00:00:00Z,1966-11-14T00:00:00Z,,,,Q244689,Lal Bahadur Shastri,Q1764541,Yashwantrao Chavan,,,,,,Q317769-19D4CB8F-2068-44EE-881C-5064F39A24BC
Q317769,Gulzarilal Nanda,Q192711,Prime minister of India,1964-05-27T00:00:00Z,1964-06-09T00:00:00Z,,,,Q1047,Jawaharlal Nehru,Q244689,Lal Bahadur Shastri,,,,,,Q317769-2b6082b1-43c2-051e-9cc5-dbc65d438e8f
Q317769,Gulzarilal Nanda,Q192711,Prime minister of India,1966-01-11T00:00:00Z,1966-01-24T00:00:00Z,,,,Q244689,Lal Bahadur Shastri,Q1149,Indira Gandhi,,,,,,Q317769-c5e687d1-406d-22a0-4b02-4682d5e3a13a
Q377870,H. D. Deve Gowda,Q3440901,Minister of Home Affairs,1996-06-01T00:00:00Z,1996-06-29T00:00:00Z,,,,Q2604936,Murli Manohar Joshi,Q6026897,Indrajit Gupta,,,,,,Q377870-E4F36290-E542-4BA7-931F-D5C93188FBA3
Q377870,H. D. Deve Gowda,Q192711,Prime minister of India,1996-06-01T00:00:00Z,1997-04-21T00:00:00Z,,,11,Q233289,Atal Bihari Vajpayee,Q248484,I. K. Gujral,,,,,,Q377870-546c8ae2-420e-df4b-22d7-f537d3f2df3b
Q5650645,Hans Raj Khanna,Q18128071,Minister of Law and Justice,,,,,,,,,,,,,,,Q5650645-CC8599F8-6817-40B1-BBCD-4A15449118D4
Q5092244,Harekrishna Mahatab,Q6866058,Minister of Commerce and Industry,1950-05-13T00:00:00Z,1952-05-13T00:00:00Z,,,,Q7586186,Sri Prakasa,Q3532094,T. T. Krishnamachari,,,,,,Q5092244-60cc46ef-4673-5516-b455-b64c26102927
Q5092244,Harekrishna Mahatab,Q6866058,Minister of Commerce and Industry,1950-05-13T00:00:00Z,1952-05-13T00:00:00Z,,,,Q1047,Jawaharlal Nehru,Q3532094,T. T. Krishnamachari,,,,,,Q5092244-60cc46ef-4673-5516-b455-b64c26102927
Q557014,Hidipo Hamutenya,Q6866209,Minister of Information and Broadcasting,,,,,,,,,,,,,,,Q557014-114F9CBA-3A08-4200-B92B-A01CCEA5CFB3
Q248484,I. K. Gujral,Q313465,Minister of External Affairs,1989-12-05T00:00:00Z,1990-11-10T00:00:00Z,,,,Q315338,Vishwanath Pratap Singh,Q7928167,Vidya Charan Shukla,,,,,,Q248484-11fce802-451b-6517-5140-4efdc8645a70
Q248484,I. K. Gujral,Q313465,Minister of External Affairs,1996-06-01T00:00:00Z,1998-03-19T00:00:00Z,,,,Q3629904,Sikander Bakht,Q233289,Atal Bihari Vajpayee,,,,,,Q248484-17BB3514-F278-4054-A547-30F02E67916B
Q248484,I. K. Gujral,Q1416501,Minister of Finance,1997-04-21T00:00:00Z,1997-05-01T00:00:00Z,,,,Q377358,P. Chidambaram,Q377358,P. Chidambaram,,,,,,Q248484-C5F3AEFB-6381-44FF-87A5-8CAB52E1A075
Q248484,I. K. Gujral,Q192711,Prime minister of India,1997-04-21T00:00:00Z,1998-03-19T00:00:00Z,,,12,Q377870,H. D. Deve Gowda,Q233289,Atal Bihari Vajpayee,,,,,,Q248484-d21b4a7b-43e5-f86d-5476-66c129fd1eae
Q1149,Indira Gandhi,Q3533315,Minister of Defence of India,1975-11-30T00:00:00Z,1975-12-20T00:00:00Z,,,,Q1034290,Swaran Singh,Q3634914,Bansi Lal,,,,,,Q1149-ebe03283-411f-b07b-3afb-03deceea2fd4
Q1149,Indira Gandhi,Q3533315,Minister of Defence of India,1980-01-14T00:00:00Z,1982-01-15T00:00:00Z,,,,Q982295,Chidambaram Subramaniam,Q297950,R. Venkataraman,,,,,,Q1149-DEC0DF12-C63B-4F9A-A213-66F5FB512EC1
Q1149,Indira Gandhi,Q313465,Minister of External Affairs,1967-09-06T00:00:00Z,1969-02-13T00:00:00Z,,,,Q3634250,M. C. Chagla,Q5278104,Dinesh Singh,,,,,,Q1149-cddc0126-43de-c6da-cf92-b7f926488fb3
Q1149,Indira Gandhi,Q313465,Minister of External Affairs,1984-07-19T00:00:00Z,1984-10-31T00:00:00Z,,,,Q275146,P. V. Narasimha Rao,Q4593,Rajiv Gandhi,,,,,,Q1149-6A36E261-AD97-4B63-AD09-3331E2EB503A
Q1149,Indira Gandhi,Q1416501,Minister of Finance,1969-07-16T00:00:00Z,1970-06-27T00:00:00Z,,,,Q218661,Morarji Desai,Q1764541,Yashwantrao Chavan,,,,,,Q1149-BCE0A072-EE7E-4F01-AC28-35A909F20945
Q1149,Indira Gandhi,Q3440901,Minister of Home Affairs,1970-06-27T00:00:00Z,1973-02-04T00:00:00Z,,,,Q1764541,Yashwantrao Chavan,Q7881031,Uma Shankar Dikshit,,,,,,Q1149-15FF131C-4301-4DBF-9241-DB1E00DFC251
Q1149,Indira Gandhi,Q6866209,Minister of Information and Broadcasting,1964-01-01T00:00:00Z,1966-01-01T00:00:00Z,,,,Q17388761,Satya Narayan Sinha,Q6425223,Kodardas Kalidas Shah,,,,,,Q1149-19F9CA20-1A4E-4E07-92C4-8AB71FA9AEB6
Q1149,Indira Gandhi,Q192711,Prime minister of India,1966-01-24T00:00:00Z,1977-03-24T00:00:00Z,,,3,Q317769,Gulzarilal Nanda,Q218661,Morarji Desai,,,,,,Q1149-11be62a9-4f42-7fed-f07f-6391aca0c3cc
Q1149,Indira Gandhi,Q192711,Prime minister of India,1980-01-14T00:00:00Z,1984-10-31T00:00:00Z,,,3,Q319824,Charan Singh,Q4593,Rajiv Gandhi,,,,,,Q1149-ff881f80-4044-cf6f-def8-40e4892f3cae
Q6026897,Indrajit Gupta,Q3440901,Minister of Home Affairs,1996-06-29T00:00:00Z,1998-03-19T00:00:00Z,,,,Q377870,H. D. Deve Gowda,Q468324,Lal Krishna Advani,,,,,,Q6026897-D200799A-D99B-4ECA-B683-95FE553B31CD
Q6121940,Jaffer Sharief,Q6866301,Minister of Railways,,,,,,,,,,,,,,,Q6121940-31722AA4-D0F9-4B68-8B83-579E8914F514
Q16193764,Jagat Prakash Nadda,Q17073489,Minister of Health and Family Welfare,2014-11-09T00:00:00Z,,,,,,,,,,,,,,Q16193764-bcb7977e-4fb8-f66d-c1ce-eb476ab9a32d
Q1471625,Jagjivan Ram,Q1708557,Deputy Prime Minister of India,1977-03-24T00:00:00Z,1979-07-28T00:00:00Z,,,,,,,,,,,,,Q1471625-6B5C5867-FBAC-4337-9646-A23E736694AE
Q1471625,Jagjivan Ram,Q3533315,Minister of Defence of India,1977-03-24T00:00:00Z,1978-07-01T00:00:00Z,,,,,,,,,,,,,Q1471625-E852FC4C-7628-44DF-BB7E-265ACC7A2789
Q3518489,Jaswant Singh,Q3533315,Minister of Defence of India,2000-01-02T00:00:00Z,2001-10-18T00:00:00Z,,,,Q3056379,George Fernandes,Q3056379,George Fernandes,,,,,,Q3518489-A375EFDD-ED95-41AE-A3C2-D6F1D5734A6C
Q3518489,Jaswant Singh,Q313465,Minister of External Affairs,1998-12-05T00:00:00Z,2002-06-23T00:00:00Z,,,,Q233289,Atal Bihari Vajpayee,Q2723759,Yashwant Sinha,,,,,,Q3518489-056766aa-46ab-08a2-efe0-fce4f505e30b
Q3518489,Jaswant Singh,Q1416501,Minister of Finance,1996-05-16T00:00:00Z,1996-06-01T00:00:00Z,,,,Q41914,Manmohan Singh,Q377358,P. Chidambaram,,,,,,Q3518489-b034389f-4bd0-97dd-cd97-cc1530ebba5f
Q3518489,Jaswant Singh,Q1416501,Minister of Finance,2002-07-01T00:00:00Z,2004-05-21T00:00:00Z,,,,Q2723759,Yashwant Sinha,Q377358,P. Chidambaram,,,,,,Q3518489-C283DD9E-88DD-45A1-AAF9-81C44853C9A4
Q1047,Jawaharlal Nehru,Q3533315,Minister of Defence of India,1962-10-31T00:00:00Z,1962-11-14T00:00:00Z,,,,Q3595860,Vengalil Krishnan Krishna Menon,Q1764541,Yashwantrao Chavan,,,https://www.culturalindia.net/leaders/jawaharlal-nehru.html,,,Q1047-18BA96CE-105A-4180-8A39-7C6FC355CBB8
Q1047,Jawaharlal Nehru,Q313465,Minister of External Affairs,1947-08-15T00:00:00Z,1964-05-27T00:00:00Z,,,,,,Q317769,Gulzarilal Nanda,,,https://www.culturalindia.net/leaders/jawaharlal-nehru.html,,,Q1047-58C8A597-12C7-475C-8BE2-16DA245CD2A3
Q1047,Jawaharlal Nehru,Q1416501,Minister of Finance,1958-02-13T00:00:00Z,1958-03-13T00:00:00Z,,,,Q3532094,T. T. Krishnamachari,Q218661,Morarji Desai,,,https://www.culturalindia.net/leaders/jawaharlal-nehru.html,,,Q1047-76A21462-1FF6-4E40-83AA-6ECC953B634B
Q1047,Jawaharlal Nehru,Q192711,Prime minister of India,1947-08-15T00:00:00Z,1964-05-27T00:00:00Z,,,1,,,Q317769,Gulzarilal Nanda,,,https://www.culturalindia.net/leaders/jawaharlal-nehru.html,,,Q1047-341aa77b-40f4-2686-02c0-d8952751d4cb
Q6247132,John Mathai,Q1416501,Minister of Finance,1949-01-01T00:00:00Z,1950-05-29T00:00:00Z,,,2,Q3532049,R. K. Shanmukham Chetty,Q3763779,Chintaman Dwarkanath Deshmukh,,,,,,Q6247132-d5d79d4f-411e-2d17-b821-bbb2758a869d
Q6247132,John Mathai,Q6866301,Minister of Railways,1947-08-15T00:00:00Z,1948-09-22T00:00:00Z,,,1,,,Q6951649,Narasimha Gopalaswami Ayyangar,,,,,,Q6247132-627415f2-48a1-1992-269a-0a400d48582d
Q6298726,Jual Oram,Q6866408,Minister of Tribal Affairs,2014-05-27T00:00:00Z,,,,,Q6416636,Kishore Chandra Deo,,,,,,,,Q6298726-58c27d09-4531-3a41-989f-6097d55696e1
Q1285090,K. Natwar Singh,Q313465,Minister of External Affairs,2004-05-22T00:00:00Z,2005-12-06T00:00:00Z,,,,Q2723759,Yashwant Sinha,Q41914,Manmohan Singh,,,,,,Q1285090-CFB3A7E8-B561-4AC7-A369-46CC49E1A882
Q25748324,K. T. Rama Rao,Q30275501,Minister for Information and Technology,,,,,,,,,,,,,,,Q25748324-7cff3b9d-4fd4-e702-1501-8b5b079bed19
Q1287413,Kamal Nath,Q6866058,Minister of Commerce and Industry,2004-05-01T00:00:00Z,2009-04-01T00:00:00Z,,,,,,,,,,,,,Q1287413-CF0B8295-53AF-4A25-A7B3-21164DA9CCE6
Q1287413,Kamal Nath,Q6866308,Minister of Road Transport and Highways,2009-05-22T00:00:00Z,2011-01-18T00:00:00Z,,,,Q3534034,T. R. Baalu,Q5006743,C. P. Joshi,,,,,,Q1287413-000C09CB-6CB3-43F8-A811-7BC965B14B64
Q1287413,Kamal Nath,Q16868002,Minister of Urban Development (India),2011-01-01T00:00:00Z,2012-10-01T00:00:00Z,,,,,,,,,,,,,Q1287413-CC3040B2-D652-4355-A7E5-94EDE349B1C6
Q3595490,Kantilal Bhuria,Q6866408,Minister of Tribal Affairs,2009-01-01T00:00:00Z,2011-07-01T00:00:00Z,,,,,,Q6416636,Kishore Chandra Deo,,,,,,Q3595490-70429288-43a2-9fb9-ff4a-b1829f8f509e
Q1206954,Kapil Sibal,Q6866064,Minister of Communications and Information Technology,,,,,,,,,,,,,,,Q1206954-4FAB10A9-1BEC-4E35-8596-C02D6B4BC050
Q1206954,Kapil Sibal,Q18128071,Minister of Law and Justice,2013-05-11T00:00:00Z,2014-05-25T00:00:00Z,,,,Q4806165,Ashwani Kumar,Q3630922,Ravi Shankar Prasad,,,,,,Q1206954-85CD48AE-6041-4FF1-9FE9-D4B8619E8ACA
Q3764086,Kasu Brahmananda Reddy,Q3440901,Minister of Home Affairs,1974-10-10T00:00:00Z,1977-03-24T00:00:00Z,,,,Q7881031,Uma Shankar Dikshit,Q319824,Charan Singh,,,,,,Q3764086-3fdd3ffe-4e65-b894-7ffe-0c9502a62865
Q13512569,Kavuru Samba Siva Rao,Q6866396,Minister of Textiles,2013-06-17T00:00:00Z,2014-05-26T00:00:00Z,,,,Q755831,Anand Sharma,Q7420653,Santosh Gangwar,,,,,,Q13512569-BE69C6C6-DCAD-479D-BCE7-DEC874F2D1E0
Q6416636,Kishore Chandra Deo,Q6866408,Minister of Tribal Affairs,2011-07-01T00:00:00Z,,,,,Q3595490,Kantilal Bhuria,,,,,,,,Q6416636-f41bb5b3-4c2d-e29d-a157-66f44da90628
Q244689,Lal Bahadur Shastri,Q313465,Minister of External Affairs,1964-06-09T00:00:00Z,1964-07-18T00:00:00Z,,,,Q317769,Gulzarilal Nanda,Q1034290,Swaran Singh,,,,,,Q244689-ACECB871-AC2C-4D31-9E01-A8070BD85062
Q244689,Lal Bahadur Shastri,Q3440901,Minister of Home Affairs,1961-04-04T00:00:00Z,1963-08-29T00:00:00Z,,,,Q2724411,Govind Ballabh Pant,Q317769,Gulzarilal Nanda,,,,,,Q244689-915627A0-2944-4803-A316-010492A38EA5
Q244689,Lal Bahadur Shastri,Q192711,Prime minister of India,1964-06-09T00:00:00Z,1966-01-11T00:00:00Z,,,,Q317769,Gulzarilal Nanda,Q317769,Gulzarilal Nanda,,,,,,Q244689-25f8cadd-4798-1700-1496-49922a3f958f
Q468324,Lal Krishna Advani,Q1708557,Deputy Prime Minister of India,2002-02-05T00:00:00Z,2004-05-22T00:00:00Z,,,7,Q1764533,Chaudhary Devi Lal,,,,,,,,Q468324-D9B05C07-1F78-4AE1-9FAD-375B15E62794
Q468324,Lal Krishna Advani,Q1708557,Deputy Prime Minister of India,2002-06-29T00:00:00Z,2004-05-22T00:00:00Z,,,,Q1764533,Chaudhary Devi Lal,,,,,,,,Q468324-673cc15f-4a18-4ebc-b6ed-23d7fd6897a7
Q468324,Lal Krishna Advani,Q3440901,Minister of Home Affairs,1998-03-19T00:00:00Z,2004-05-22T00:00:00Z,,,,Q6026897,Indrajit Gupta,Q1897174,Shivraj Patil,,,,,,Q468324-4A994956-06BF-47C0-8593-AFE58FD0E7A0
Q468324,Lal Krishna Advani,Q6866209,Minister of Information and Broadcasting,1977-03-24T00:00:00Z,1980-07-28T00:00:00Z,,,,,,,,,,,,,Q468324-2A7309F2-5DEF-4E44-9901-DE0CFE23AAA2
