state,stateLabel,position,positionLabel,person,personLabel,start,abolished,psid
Q1159,Andhra Pradesh,Q70951203,governor of Andhra Pradesh,Q61556023,Biswabhusan Harichandan,2019-07-24,,Q61556023-000c7473-4ba3-52b5-eb2a-0b406c333aab
Q1162,Arunachal Pradesh,Q15689085,Governor of Arunachal Pradesh,Q41694037,B. D. Mishra,2017-10-03,,Q41694037-474DCFC0-BFD9-4E0C-9245-CD0785DB5B41
Q1164,Assam,Q70954187,governor of Assam,Q6122326,Jagdish Mukhi,2017-10-10,,Q6122326-E362DB32-802B-42F9-9EF1-1C9C223B8464
Q1165,Bihar,Q70954643,governor of Bihar,Q30109908,Fagu Chauhan,2019-07-29,,Q30109908-8AFA7215-311F-49D9-B1AA-0566754B87B8
Q1168,Chhattisgarh,Q70954789,governor of Chhattisgarh,Q4777946,Anusuiya Uikey,2019-07-29,,Q4777946-0110dc4c-4c1c-aa25-339a-881126a3f59d
Q1171,Goa,Q18727717,Governor of Goa,Q6815509,P. S. Sreedharan Pillai,2021-07-15,,Q6815509-03F479F9-2725-415D-AABE-7CD2BD1E1656
Q1061,Gujarat,Q63438501,Governor of Gujarat,Q20781437,Acharya Dev Vrat,2019-07-22,,Q20781437-ca53b908-999a-422c-bdef-7672d6e0c872
Q1174,Haryana,Q70955111,governor of Haryana,Q4854461,Bandaru Dattatreya,2021-07-07,,Q4854461-676BD174-C829-4B9A-91EF-2AA14CF691F7
Q1177,Himachal Pradesh,Q71223715,governor of Himachal Pradesh,Q15960598,Rajendra Arlekar,2021-07-13,,Q15960598-8EAD8652-1937-4D06-843F-498BA19661C1
Q1180,Jammu and Kashmir,Q71224017,governor of Jammu and Kashmir,,,,,
Q1184,Jharkhand,Q71224243,governor of Jharkhand,Q7289378,Ramesh Bais,2021-07-14,,Q7289378-A4EEA81C-A303-407B-8771-DA73FDC27C9C
Q1185,Karnataka,Q13160767,governor of Karnataka,Q7711496,Thawar Chand Gehlot,2021-07-11,,Q7711496-32AD67FE-9953-4839-A48F-ECB41A73A70B
Q1186,Kerala,Q1748927,Governor of Kerala,Q4790546,Arif Mohammad Khan,2019-09-06,,Q4790546-e35440ca-4ac8-23e9-7938-82c07f776aa6
Q1188,Madhya Pradesh,Q71308756,governor of Madhya Pradesh,Q17517188,Mangubhai C. Patel,2021-07-06,,Q17517188-98C69B15-B692-4F84-A2C9-9DD6C0BBA42D
Q1191,Maharashtra,Q18727576,Governor of Maharashtra,Q4900607,Bhagat Singh Koshiyari,2019-09-05,,Q4900607-1af85030-4259-8c50-4848-46454d8a8830
Q1193,Manipur,Q52107836,Governor of Manipur,Q6462710,La Ganesan,2021-08-27,,Q6462710-8413083F-8F31-4F7C-A51C-947FA6BD84AE
Q1195,Meghalaya,Q65288325,governor of Meghalaya,Q7426876,Satya Pal Malik,2020-08-18,,Q7426876-7A5CB7EB-57CF-44C8-91BB-1C6695D734E1
Q1502,Mizoram,Q65288311,governor of Mizoram,Q16897892,Kambhampati Hari Babu,2021-07-19,,Q16897892-4D5F3B1B-B0CB-476F-959E-8FA429D9A211
Q1599,Nagaland,Q61362710,governor of Nagaland,Q6122326,Jagdish Mukhi,2021-09-17,,Q6122326-E1FD32AA-F827-4A62-B77A-115A56817657
Q22048,Odisha,Q28481413,Governor of Odisha,Q54165683,Ganeshi Lal,2018-05-29,,Q54165683-D2D9941C-A9B1-454D-B3E5-82BDA2F035EB
Q22424,Punjab,Q25623551,Governor of Punjab,Q4857338,Banwarilal Purohit,2021-08-31,,Q4857338-5AF78405-1334-4AAC-87D3-E51CACEF00AC
Q1437,Rajasthan,Q21448297,Governor of Rajasthan,Q6354410,Kalraj Mishra,2019-09-09,,Q6354410-d92edaae-4340-0802-3b6f-a96295a830dc
Q1505,Sikkim,Q71309242,governor of Sikkim,Q42308903,Ganga Prasad,2018-08-26,,Q42308903-BE7F6775-D75F-4785-A2BA-8C784FB9D035
Q1445,Tamil Nadu,Q27892340,Governor of Tamil Nadu,Q67179816,R. N. Ravi,2021-09-18,,Q67179816-78BF44D8-3F82-48E8-829E-BE60518EA890
Q677037,Telangana,Q71309714,governor of Telangana,Q17198781,Tamilisai Soundararajan,2019-09-08,,Q17198781-0a97da66-46c0-4cc1-4165-315574268d68
Q1363,Tripura,Q71310842,governor of Tripura,Q20312274,Satyadeo Narain Arya,2021-07-07,,Q20312274-E1EF111C-5661-4411-8A61-7F04C73092EA
Q1498,Uttar Pradesh,Q12991748,governor of Uttar Pradesh,Q4751365,Anandiben Patel,2019-07-29,,Q4751365-484d2534-4056-a93c-40f5-22e5638697bb
Q1499,Uttarakhand,Q71311082,governor of Uttarakhand,Q108553289,Gurmit Singh,2021-09-15,,Q108553289-1C2946A3-4858-499F-A8D2-C6C1B836702F
Q1356,West Bengal,Q6364703,Governor of West Bengal,Q50410280,Jagdeep Dhankhar,2019-07-30,,Q50410280-e0f8d0ca-4425-4f00-1df1-793adffc52d9
