@@,item,itemlabel,startdate,enddate
+++,Q6736926,Mairembam Koireng Singh,1963-07-01,1967-01-11
+++,Q1486618,President's rule,1967-01-12,1967-03-19
+++,Q6736926,Mairembam Koireng Singh,1967-03-20,1967-10-04
+++,,Longjam Thambou Singh,1967-10-13,1967-10-24
+++,Q1486618,President's rule,1967-10-25,1968-02-18
+++,Q6736926,Mairembam Koireng Singh,1968-02-19,1969-10-16
+++,Q1486618,President's rule,1969-10-17,1972-03-22
+++,Q24284529,Mohammed Alimuddin,1972-03-23,1973-03-27
+++,Q1486618,President's rule,1973-03-28,1974-03-03
+++,Q24284529,Mohammed Alimuddin,1974-03-04,1974-07-09
+++,Q8048602,Yangmaso Shaiza,1974-07-10,1974-12-05
+++,Q7285314,Rajkumar Dorendra Singh,1974-12-06,1977-05-15
+++,Q1486618,President's rule,1977-05-16,1977-06-28
+++,Q8048602,Yangmaso Shaiza,1977-06-29,1979-11-13
+++,Q1486618,President's rule,1979-11-14,1980-01-13
+++,Q7285314,Rajkumar Dorendra Singh,1980-01-14,1980-11-26
+++,Q7336021,Rishang Keishing,1980-11-27,1981-02-27
+++,Q1486618,President's rule,1981-02-28,1981-06-18
+++,Q7336021,Rishang Keishing,1981-06-19,1988-03-03
+++,Q28967511,Rajkumar Jaichandra Singh,1988-03-04,1990-02-22
+++,Q38464739,Rajkumar Ranbir Singh,1990-02-23,1992-01-06
+++,Q1486618,President's rule,1992-01-07,1992-04-07
+++,Q7285314,Rajkumar Dorendra Singh,1992-04-08,1993-04-10
+++,Q1486618,President's rule,1993-12-31,1994-12-13
+++,Q7336021,Rishang Keishing,1994-12-14,1997-12-15
+++,Q1486618,President's rule,2001-06-02,2002-03-06
->,Q2017412,Okram Ibobi Singh,2002-03-07,2017-03-15->2007-03-01
+++,Q2017412,Okram Ibobi Singh,2007-03-02,2012-03-05
+++,Q2017412,Okram Ibobi Singh,2012-03-06,2017-03-14
->,Q7049407,Nongthombam Biren Singh->N. Biren Singh,2017-03-15,NULL->2022-03-21
+++,Q7049407,N. Biren Singh,2022-03-21,
