name,position
Shri Narendra Modi,Prime Minister
"",Prime Minister
Shri Raj Nath Singh,Minister of Defence
Shri Amit Shah,Minister of Home Affairs
Shri Amit Shah,Minister of Cooperation
Shri Nitin Jairam Gadkari,Minister of Road Transport and Highways
Smt. Nirmala Sitharaman,Minister of Finance
Smt. Nirmala Sitharaman,Minister of Corporate Affairs
Shri Narendra Singh Tomar,Minister of Agriculture & Farmers Welfare
Dr. Subrahmanyam Jaishankar,Minister of External Affairs
Shri Arjun Munda,Minister of Tribal Affairs
Smt. Smriti Zubin Irani,Minister of Women and Child Development
Shri Piyush Goyal,Minister of Commerce and Industry
Shri Piyush Goyal,"Minister of Consumer Affairs, Food and Public Distribution"
Shri Piyush Goyal,Minister of Textiles
Shri Dharmendra Pradhan,Minister of Education
Shri Dharmendra Pradhan,Minister of Skill Development and Entrepreneurship
Shri Pralhad Joshi,Minister of Parliamentary Affairs
Shri Pralhad Joshi,Minister of Coal
Shri Pralhad Joshi,Minister of Mines
Shri Narayan Tatu Rane,"Minister of Micro, Small and Medium Enterprises"
Shri Sarbananda Sonowal,"Minister of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)"
Shri Mukhtar Abbas Naqvi,Minister of Minority Affairs
Dr. Virendra Kumar,Minister of Social Justice and Empowerment
Shri Giriraj Singh,Minister of Rural Development
Shri Giriraj Singh,Minister of Panchayati Raj
Shri Jyotiraditya M. Scindia,Minister of Civil Aviation
Shri Ramchandra Prasad Singh,Minister of Steel
Shri Ashwini Vaishnaw,Minister of Railways
Shri Ashwini Vaishnaw,Minister of Communications
Shri Ashwini Vaishnaw,Minister of Electronics and Information Technology
Shri Pashu Pati Kumar Paras,Minister of Food Processing Industries
Shri Gajendra Singh Shekhawat,Minister of Jal Shakti
Shri Kiren Rijiju,Minister of Law and Justice
Shri Raj Kumar Singh,Minister of Power
Shri Raj Kumar Singh,Minister of New and Renewable Energy
Shri Hardeep Singh Puri,Minister of Petroleum and Natural Gas
Shri Hardeep Singh Puri,Minister of Housing and Urban Affairs
Shri Mansukh L. Mandaviya,Minister of Health and Family Welfare
Shri Mansukh L. Mandaviya,Minister of Chemicals and Fertilizers
Shri Bhupender Yadav,"Minister of Environment, Forest and Climate Change"
Shri Bhupender Yadav,Minister of Labour and Employment
Dr. Mahendra Nath Pandey,Minister of Heavy Industries
Shri Parshottam Rupala,"Minister of Fisheries, Animal Husbandry and Dairying"
Shri G. Kishan Reddy,Minister of Culture
Shri G. Kishan Reddy,Minister of Tourism
Shri G. Kishan Reddy,Minister of Development of North Eastern Region
Shri Anurag Singh Thakur,Minister of Information and Broadcasting
Shri Anurag Singh Thakur,Minister of Youth Affairs and Sports
