@@,itemlabel,item,startdate,enddate
+++,Satyawant Mallana Srinagesh,Q7426948,1955-05-15,1957-05-07
+++,Kodandera Subayya Thimayya,Q716980,1957-05-08,1961-05-07
+++,Pran Nath Thapar,Q7238299,1961-05-08,1962-11-19
+++,Jayanto Nath Chaudhuri,Q3764835,1962-11-20,1966-06-07
+++,Paramasiva Prabhakar Kumaramangalam,Q7135145,1966-06-08,1969-06-07
->,Sam Manekshaw->Sam Hormusji Framji Jamshedji Manekshaw,Q558194,1969-06-08,1973-01-15
+++,Gopal Gurunath Bewoor,Q5584175,1973-01-16,1975-05-31
+++,Tapishwar Narain Raina,Q7684690,1975-06-01,1978-05-31
+++,Om Prakash Malhotra,Q7089352,1978-06-01,1981-05-31
+++,Kotikalapudi Venkata Krishna Rao,Q6324156,1981-06-01,1983-07-31
+++,Arunkumar Shridhar Vaidya,Q4802144,1983-08-01,1986-01-31
+++,Krishnaswamy Sundarji,Q6437621,1986-02-01,1988-05-31
+++,Vishwa Nath Sharma,Q7936036,1988-06-01,1990-06-30
+++,Sunith Francis Rodrigues,Q304000,1990-07-01,1993-06-30
+++,Bipin Chandra Joshi,Q4915442,1993-07-01,1994-11-19
+++,Shankar Roy Chowdhary,Q7488707,1994-11-20,1997-09-30
->,Ved Prakash Malik,Q7917880,1997-09-30->1997-10-01,2000-09-30
+++,Sundararajan Padmanabhan,Q7639245,2000-10-01,2002-12-31
+++,Nirmal Chander Vij,Q7039992,2003-01-01,2005-01-31
->,Joginder Jaswant Singh,Q1895936,2005-02-01,2007-08-31->2007-09-30
+++,Deepak Kapoor,Q5250509,2007-10-01,2010-03-31
+++,Vijay Kumar Singh,Q7929176,2010-04-01,2012-05-31
+++,Bikram Singh,Q2354992,2012-06-01,2014-07-31
->,Dalbir Singh Suhag,Q16728340,2014-07-31->2014-08-01,2016-12-31
+++,Manoj Pande,Q96316938,2022-04-30,
