position,title
Q9982713,judge of the Supreme Court
Q65455897,ambassador to Spain
Q61058695,ambassador to the United States
Q69017974,ambassador to Greece
Q92212615,High Commissioner to the United Kingdom
Q5097002,Chief of Air Staff
Q7925023,Vice Chief of the Air Staff
Q4616814,Chief of the Army Staff
Q25205985,Vice Chief of Army Staff
Q5097070,Chief of the Naval Staff
Q19893852,Mayor of Ahmedabad
Q58943975,Mayor of Bhavnagar
Q58944099,Mayor of Hyderabad
Q58944377,Mayor of Thiruvananthapuram
Q58944409,Mayor of Varanasi
Q58944414,Mayor of Vijayawada
