@@,itemlabel,item,startdate,enddate
+++,P. Shilu Ao,Q7117542,1963-12-01,1966-08-14
+++,T. N. Angami,Q17146533,1966-08-14,1969-02-22
+++,Hokishe Sema,Q5878019,1969-02-22,1974-02-26
+++,Vizol Angami,Q24952220,1974-02-26,1975-03-10
+++,John Bosco Jasokie,Q24952222,1975-03-10,1975-03-20
+++,President's rule,Q1486618,1975-03-20,1977-11-25
+++,Vizol Angami,Q24952220,1977-11-25,1980-04-18
+++,S. C. Jamir,Q3532549,1980-04-18,1980-06-05
+++,John Bosco Jasokie,Q24952222,1980-06-05,1982-11-18
+++,S. C. Jamir,Q3532549,1982-11-18,1986-10-28
+++,Hokishe Sema,Q5878019,1986-10-29,1988-08-07
+++,President's rule,Q1486618,1988-08-07,1989-01-25
+++,S. C. Jamir,Q3532549,1989-01-25,1990-05-10
+++,K. L. Chishi,Q6323524,1990-05-16,1990-06-19
+++,Vamüzo Phesao,Q1490828,1990-06-19,1992-04-02
+++,President's rule,Q1486618,1992-04-02,1993-02-22
+++,S. C. Jamir,Q3532549,1993-02-22,2003-03-06
+++,President's rule,Q1486618,2008-01-03,2008-03-12
->,Neiphiu Rio,Q3530214,2008-03-12,2014-05-24->2013-03-05
+++,Neiphiu Rio,Q3530214,2013-03-05,2014-05-24
->,T. R. Zeliang,Q7668627,2014-05-24,2017-02-20->2017-02-22
