@@,itemlabel,item,startdate,enddate
+++,Ananth Kumar,Q4751468,1999-10-13,2001-09-01
+++,Maneka Gandhi,Q2739159,2001-09-01,2001-11-18
+++,Jagmohan,Q5924734,2001-11-18,2004-05-22
+++,S. Jaipal Reddy,Q3595150,2004-05-23,2006-01-29
+++,Ambika Soni,Q3347864,2006-01-29,2009-05-23
+++,Manmohan Singh,Q41914,2009-05-23,2011-01-19
+++,Kumari Selja,Q3595500,2011-01-19,2012-10-28
+++,Chandresh Kumari Katoch,Q5071486,2012-10-28,2014-05-26
+++,Shripad Naik,Q7504173,2014-05-26,2014-11-12
+++,Mahesh Sharma,Q16890620,2014-11-12,2019-05-30
+++,Prahlad Singh Patel,Q7237724,2019-05-30,2021-07-07
->,G. Kishan Reddy->G Kishan Reddy,Q5512319,2021-07-07,
