item,itemLabel,startDate,endDate
Q4751468,Ananth Kumar,1999-10-13,2001-09-01
Q2739159,Maneka Gandhi,2001-09-01,2001-11-18
Q5924734,Jagmohan,2001-11-18,2004-05-22
Q3595150,S. Jaipal Reddy,2004-05-23,2006-01-29
Q3347864,Ambika Soni,2006-01-29,2009-05-23
Q41914,Manmohan Singh,2009-05-23,2011-01-19
Q3595500,Kumari Selja,2011-01-19,2012-10-28
Q5071486,Chandresh Kumari Katoch,2012-10-28,2014-05-26
Q7504173,Shripad Naik,2014-05-26,2014-11-12
Q16890620,Mahesh Sharma,2014-11-12,2019-05-30
Q7237724,Prahlad Singh Patel,2019-05-30,2021-07-07
Q5512319,G Kishan Reddy,2021-07-07,
