@@,item,itemlabel,startdate,enddate
+++,Q1273532,E. M. S. Namboodiripad,1957-04-05,1959-07-31
+++,Q3595542,Pattom A. Thanu Pillai,1960-02-22,1962-09-26
+++,Q7273982,R. Sankar,1962-09-26,1964-09-10
+++,Q1273532,E. M. S. Namboodiripad,1967-03-06,1969-11-01
+++,Q3530024,C. Achutha Menon,1969-11-01,1970-08-03
+++,Q3530024,C. Achutha Menon,1970-10-04,1977-03-25
+++,Q3521777,K. Karunakaran,1977-03-25,1977-04-26
+++,Q278849,A. K. Antony,1977-04-27,1978-10-28
+++,Q3595611,P. K. Vasudevan Nair,1978-10-29,1979-10-11
+++,Q5006501,C. H. Mohammed Koya,1979-10-12,1979-12-04
+++,Q3504500,E. K. Nayanar,1980-01-25,1981-10-20
+++,Q3521777,K. Karunakaran,1981-12-28,1982-03-17
+++,Q3521777,K. Karunakaran,1982-05-24,1987-03-25
+++,Q3504500,E. K. Nayanar,1987-03-26,1991-06-23
+++,Q3521777,K. Karunakaran,1991-06-24,1995-03-21
+++,Q278849,A. K. Antony,1995-03-22,1996-05-19
->,Q3504500,E. K. Nayanar,1996-05-20,2001-05-13->2001-05-16
->,Q278849,A. K. Antony,2001-05-17,2004-08-29->2004-08-30
->,Q1775400,Oommen Chandy,2004-08-31,2006-05-18->2006-05-17
->,Q3139221,V. S. Achuthanandan,2006-05-18,2011-05-14->2011-05-17
->,Q1775400,Oommen Chandy,2011-05-18,2016-05-25->2016-05-24
->,Q3595385,Pinarayi Vijayan,2016-05-25,NULL->2021-05-19
+++,Q3595385,Pinarayi Vijayan,2021-05-20,
