item,itemLabel,startDate,endDate,sourceDate,psid
Q3504500,E. K. Nayanar,1996-05-20,2001-05-13,,Q3504500-5CAF6D28-8931-4C15-8B21-373E169F8B0E
Q278849,A. K. Antony,2001-05-17,2004-08-29,,Q278849-bd6f4547-41ce-efcd-2ea8-4e7eefc5e13e
Q1775400,Oommen Chandy,2004-08-31,2006-05-18,,Q1775400-15812a8e-4644-9e4e-2fb1-1bbec06d0396
Q3139221,V. S. Achuthanandan,2006-05-18,2011-05-14,,Q3139221-636EA1AF-8E7E-4872-93E9-B53491B29AC9
Q1775400,Oommen Chandy,2011-05-18,2016-05-25,,Q1775400-EAB6F4A8-8EE7-4378-9FE5-C362F2A8C449
Q3595385,Pinarayi Vijayan,2016-05-25,,,Q3595385-980e2388-4515-09de-5192-afafe744a627
