@@,state,statelabel,person,personlabel
->,Q1363,Tripura,Q20312274,Satyadeo Narain Arya->Satyadev Narayan Arya
->,Q1356,West Bengal,Q6462710,La Ganesan->La. Ganesan
->,Q1193,Manipur,Q6462710,La Ganesan->La. Ganesan
->,Q1191,Maharashtra,Q4900607,Bhagat Singh Koshiyari->Bhagat Singh Koshyari
->,Q1165,Bihar,Q30109908,Fagu Chauhan->Phagu Chauhan
->,Q1061,Gujarat,Q20781437,Acharya Dev Vrat->Acharya Devvrat
---,Q1180,Jammu and Kashmir,,
